index,ID_Two,Address,City,Latitude,Longitude,Price,Restaurant,Pizza_Type
152,AVzA2PtuLD2H7whiWF8-,607 Merrick Rd,Rockville Centre,40.654078000000005,-73.630974,25.0,Bonbinos Pizzeria,Regular 3 Topping Pizza
153,AVzA2PtuLD2H7whiWF8-,607 Merrick Rd,Rockville Centre,40.654078000000005,-73.630974,25.0,Bonbinos Pizzeria,Chicago Pizza
154,AVzA1Vq_LD2H7whiWFMp,154 Church Steet,New York,40.71499,-74.00785,25.0,Dona Bella Pizza,Cheese Pizza Slices
155,AVzA1Vq_LD2H7whiWFMp,154 Church Steet,New York,40.71499,-74.00785,25.0,Dona Bella Pizza,Cheese Pizza
156,AVzX8tJF3D1zeR_xBpwF,471 Pinetown Rd,Fort Washington,40.138935,-75.195355,25.0,Lucianis Brick Oven Pizzeria,White Pizza
157,AVzX8tJF3D1zeR_xBpwF,471 Pinetown Rd,Fort Washington,40.138935,-75.195355,25.0,Lucianis Brick Oven Pizzeria,Pizza Fries
158,AVzX8tJF3D1zeR_xBpwF,471 Pinetown Rd,Fort Washington,40.138935,-75.195355,25.0,Lucianis Brick Oven Pizzeria,Pizza Capri
159,AVzX8tJF3D1zeR_xBpwF,471 Pinetown Rd,Fort Washington,40.138935,-75.195355,25.0,Lucianis Brick Oven Pizzeria,Pizza Burger
160,AVwdxVzvkufWRAb59G2Q,285 E Alessandro Blvd,Riverside,33.915287,-117.32883700000001,25.0,Romanos Chicago Pizzeria,Bbq Chicken Pizza
161,AVwdA_5x_7pvs4fz1XsP,16948 E Shea Blvd,Fountain Hills,33.574011,-111.713952,25.0,Redendos Pizzeria,Pepperoni Pizza Pinwheel
162,AWEHynBaIxWefVJwwZfg,140-142 Las Tunas Dr,Arcadia,34.107566999999996,-118.03618200000001,25.0,Alex DiPeppes,Pizza Dough Sticks
163,AVweEGB3kufWRAb5_r4w,1090 Montgomery Rd,Altamonte Springs,28.686584000000003,-81.403849,25.0,Papa Joes,Spinach On Pizza Bianca
164,AVweEGB3kufWRAb5_r4w,1090 Montgomery Rd,Altamonte Springs,28.686584000000003,-81.403849,25.0,Papa Joes,Personal Pizza (per Topping)
165,AVweEGB3kufWRAb5_r4w,1090 Montgomery Rd,Altamonte Springs,28.686584000000003,-81.403849,25.0,Papa Joes,Pizza By the Slice
166,AVweEGB3kufWRAb5_r4w,1090 Montgomery Rd,Altamonte Springs,28.686584000000003,-81.403849,25.0,Papa Joes,Personal Pizza (Per Topping)
167,AVweEGB3kufWRAb5_r4w,1090 Montgomery Rd,Altamonte Springs,28.686584000000003,-81.403849,25.0,Papa Joes,White (pizza Bianca)
168,AVweEGB3kufWRAb5_r4w,1090 Montgomery Rd,Altamonte Springs,28.686584000000003,-81.403849,25.0,Papa Joes,Pizza By The Slice
169,AVwejfkbIN2L1WUf6CVf,1330 Park St,Alameda,37.763389000000004,-122.243626,25.0,Bowzers Pizza,Good Boy Pizza Gluten Free
170,AVwejfkbIN2L1WUf6CVf,1330 Park St,Alameda,37.763389000000004,-122.243626,25.0,Bowzers Pizza,Bulldog Pizza Gluten Free
171,AVwejfkbIN2L1WUf6CVf,1330 Park St,Alameda,37.763389000000004,-122.243626,25.0,Bowzers Pizza,Basset Hound Pizza
172,AVwejfkbIN2L1WUf6CVf,1330 Park St,Alameda,37.763389000000004,-122.243626,25.0,Bowzers Pizza,Loaded Baked Potato Pizza
